field,question,category,households,non_missing_answers,explicit_unknown_or_declined_answers,current_use,timing_basis
ID,Anonymous household ID,linkage,314,314,0,linkage_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q1,"In this project, we want to talk with the person in the household who receives the electricity bill - are you the recipient of the electricity bill?",energy_attention_and_contract,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q2,What type of electricity contract do you have?,energy_attention_and_contract,314,314,69,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q3,Do you buy electricity that is guaranteed to be renewable?,energy_attention_and_contract,314,314,142,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q4,What type of building do you live in? Is it a…,dwelling_and_meter_scope,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q5,How large is the home in square meters?,dwelling_and_meter_scope,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q6,Do you own the home?,dwelling_and_meter_scope,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q6b1,Do you have a rental unit in the home?,dwelling_and_meter_scope,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q6b2,Does the rental unit has a separate electricity meter?,dwelling_and_meter_scope,314,25,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q6c,Do several tentants live in the home and share the flat?,dwelling_and_meter_scope,314,0,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q7,What year was the building you are answering for built?,dwelling_and_meter_scope,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q8,Has the the home been renovated to reduce energy consumption?,dwelling_and_meter_scope,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9N1,How is the home heated? Panel heaters,equipment_and_energy_systems,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9N2,How is the home heated? Electrical underfloor heating,equipment_and_energy_systems,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9N3,How is the home heated? Air-to-air or air-to-water heat pump,equipment_and_energy_systems,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9N4,How is the home heated? Geothermal heat,equipment_and_energy_systems,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9N5,How is the home heated? Fireplace or wood stove,equipment_and_energy_systems,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9N6,How is the home heated? Oil/paraffin/gas/bio oven,equipment_and_energy_systems,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9N7,How is the home heated? District heating or other shared solution for heating,equipment_and_energy_systems,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9N8,How is the home heated? Other type,equipment_and_energy_systems,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9d1,"In the home you are answering for, how often do you use the fireplace/wood stove?  Sometimes, mostly for having it cosy",comfort_and_usage_habits,314,216,138,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9d2,"In the home you are answering for, how often do you use the fireplace/wood stove? Only on the coldest days",comfort_and_usage_habits,314,216,134,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9d3,"In the home you are answering for, how often do you use the fireplace/wood stove? Weekly in winter",comfort_and_usage_habits,314,216,165,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q9d4,"In the home you are answering for, how often do you use the fireplace/wood stove? Almost every day in winter",comfort_and_usage_habits,314,216,171,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q10,What indoor temperature do you usually prefer in the living room when you want to feel comfortable? Temperature:,comfort_and_usage_habits,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
q11,Do you have a lower indoor temperature in rooms that are not used that often?,comfort_and_usage_habits,314,314,0,profile_and_raw_metadata,Survey 1; retained phase-1 cohort; no individual response timestamp established here
