source,field,households,non_missing_answers,disposition,input_destination,raw_destination,reason
iflex,ID,314,314,household_linkage,household_id,metadata.profile_provenance.raw_answers.ID,同户关联标识；不解释为行为特征。
iflex,q1,314,314,structured_input,input.profile.energy_systems.respondent_receives_bill,metadata.profile_provenance.raw_answers.q1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q2,314,314,structured_input,input.profile.energy_systems.electricity_contract,metadata.profile_provenance.raw_answers.q2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q3,314,314,structured_input,input.profile.energy_systems.renewable_electricity_contract,metadata.profile_provenance.raw_answers.q3,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q4,314,314,structured_input,input.profile.dwelling.type; input.profile.household.q4,metadata.profile_provenance.raw_answers.q4,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q5,314,314,structured_input,input.profile.dwelling.floor_area_band_m2; input.profile.household.q5,metadata.profile_provenance.raw_answers.q5,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q6,314,314,structured_input,input.profile.dwelling.owner_occupied; input.profile.household.q6,metadata.profile_provenance.raw_answers.q6,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q6b1,314,314,structured_input,input.profile.dwelling.rental_unit_present,metadata.profile_provenance.raw_answers.q6b1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q6b2,314,25,structured_input,input.profile.dwelling.rental_unit_separate_meter,metadata.profile_provenance.raw_answers.q6b2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q6c,314,0,structured_input,input.profile.dwelling.shared_flat,metadata.profile_provenance.raw_answers.q6c,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q7,314,314,structured_input,input.profile.dwelling.construction_year_band; input.profile.household.q7,metadata.profile_provenance.raw_answers.q7,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q8,314,314,structured_input,input.profile.dwelling.energy_renovation_reported,metadata.profile_provenance.raw_answers.q8,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9N1,314,314,structured_input,input.profile.appliances[panel_heater],metadata.profile_provenance.raw_answers.q9N1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9N2,314,314,structured_input,input.profile.appliances[electric_underfloor_heating],metadata.profile_provenance.raw_answers.q9N2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9N3,314,314,structured_input,input.profile.appliances[heat_pump],metadata.profile_provenance.raw_answers.q9N3,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9N4,314,314,structured_input,input.profile.appliances[geothermal_heating],metadata.profile_provenance.raw_answers.q9N4,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9N5,314,314,structured_input,input.profile.appliances[fireplace_or_wood_stove],metadata.profile_provenance.raw_answers.q9N5,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9N6,314,314,structured_input,input.profile.appliances[oil_paraffin_gas_bio_heater],metadata.profile_provenance.raw_answers.q9N6,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9N7,314,314,structured_input,input.profile.appliances[district_or_shared_heating],metadata.profile_provenance.raw_answers.q9N7,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9N8,314,314,structured_input,input.profile.appliances[other_heating],metadata.profile_provenance.raw_answers.q9N8,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9d1,314,216,structured_input,input.profile.usage_habits.wood_stove_use_answers,metadata.profile_provenance.raw_answers.q9d1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9d2,314,216,structured_input,input.profile.usage_habits.wood_stove_use_answers,metadata.profile_provenance.raw_answers.q9d2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9d3,314,216,structured_input,input.profile.usage_habits.wood_stove_use_answers,metadata.profile_provenance.raw_answers.q9d3,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q9d4,314,216,structured_input,input.profile.usage_habits.wood_stove_use_answers,metadata.profile_provenance.raw_answers.q9d4,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q10,314,314,structured_input,input.profile.preferences.living_room_comfort_temperature_celsius,metadata.profile_provenance.raw_answers.q10,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q11,314,314,structured_input,input.profile.usage_habits.lower_temperature_in_less_used_rooms,metadata.profile_provenance.raw_answers.q11,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q12,314,314,structured_input,input.profile.usage_habits.reduce_temperature_at_night_or_away,metadata.profile_provenance.raw_answers.q12,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q13,314,314,structured_input,input.profile.usage_habits.heating_control,metadata.profile_provenance.raw_answers.q13,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q14,314,314,structured_input,input.profile.appliances[separate_electric_water_heater]; input.profile.energy_systems.hot_water_arrangement,metadata.profile_provenance.raw_answers.q14,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q14b,314,271,structured_input,input.profile.usage_habits.water_heater_control,metadata.profile_provenance.raw_answers.q14b,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q15_1,314,314,structured_input,input.profile.energy_systems.ventilation_answers,metadata.profile_provenance.raw_answers.q15_1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q15_2,314,314,structured_input,input.profile.energy_systems.ventilation_answers,metadata.profile_provenance.raw_answers.q15_2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q15_3,314,314,structured_input,input.profile.energy_systems.ventilation_answers,metadata.profile_provenance.raw_answers.q15_3,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q15_4,314,314,structured_input,input.profile.energy_systems.ventilation_answers,metadata.profile_provenance.raw_answers.q15_4,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_ekstra_a,314,314,structured_input,input.profile.energy_attitudes.follows_electricity_use,metadata.profile_provenance.raw_answers.q_ekstra_a,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_ekstra_b_1,314,139,structured_input,input.profile.energy_attitudes.use_information_channels,metadata.profile_provenance.raw_answers.q_ekstra_b_1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_ekstra_b_2,314,139,structured_input,input.profile.energy_attitudes.use_information_channels,metadata.profile_provenance.raw_answers.q_ekstra_b_2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_ekstra_b_3,314,139,structured_input,input.profile.energy_attitudes.use_information_channels,metadata.profile_provenance.raw_answers.q_ekstra_b_3,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_ekstra_b_4,314,139,structured_input,input.profile.energy_attitudes.use_information_channels,metadata.profile_provenance.raw_answers.q_ekstra_b_4,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_ekstra_c,314,314,structured_input,input.profile.energy_attitudes.follows_electricity_prices,metadata.profile_provenance.raw_answers.q_ekstra_c,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_ekstra_d_1,314,98,structured_input,input.profile.energy_attitudes.price_information_channels,metadata.profile_provenance.raw_answers.q_ekstra_d_1,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_ekstra_d_2,314,98,structured_input,input.profile.energy_attitudes.price_information_channels,metadata.profile_provenance.raw_answers.q_ekstra_d_2,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_ekstra_d_3,314,98,structured_input,input.profile.energy_attitudes.price_information_channels,metadata.profile_provenance.raw_answers.q_ekstra_d_3,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_ekstra_d_4,314,98,structured_input,input.profile.energy_attitudes.price_information_channels,metadata.profile_provenance.raw_answers.q_ekstra_d_4,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
iflex,q_ekstra_d_5,314,98,structured_input,input.profile.energy_attitudes.price_information_channels,metadata.profile_provenance.raw_answers.q_ekstra_d_5,整理字段保留原含义；异常、未知、拒答按字段状态处理，原回答留作追溯。
